Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.6832,1,265.253,1,4.20329057,,-2.0255533,0.0575825,6308.2754834,27.01257463,13.87403479,1.9499528362,21000109,1898634,False,16.428,15.845,0.9998329282
-53.6826,1,265.245,1,4.04046025,,-1.97516083,0.04637319,6255.58435564,16.544485,13.89679888,1.597414201,21000114,1898637,False,16.073,15.476,0.9998946786
-53.6816,1,265.24,1,4.74548888,,-1.40428618,0.19137966,5437.61859512,128.61693277,28.48991067,5.7953937808,21000119,1898641,False,19.287,18.412,0.9504683614
-53.6814,1,265.258,1,4.22066251,,-2.15216521,0.06277772,6268.36129701,21.3985139,16.10621463,2.0385122082,21000120,1898642,False,16.502,15.912,0.9994141459
-53.681,1,265.243,1,4.26033105,,-1.93527893,0.05812424,6297.01949332,26.11538203,21.10936598,2.0203176116,21000124,1898644,False,16.57,15.988,0.9998210669
-53.6809,1,265.251,1,4.47624052,,-1.82638641,0.06951939,6152.7742031,25.44165601,15.80067372,2.8502046266,21000125,1898645,False,17.353,16.722,0.9997972846
-53.68,1,265.258,1,4.02707606,,-2.07622454,0.04788267,6219.43861488,14.33686957,17.56630648,1.6595435882,21000127,1898646,False,16.023,15.43,0.9996439219
-53.6794,1,265.243,1,4.4185388,,-1.84312321,0.06564264,6099.80575877,26.47511018,20.67603859,2.6125580437,21000128,1898647,False,17.354,16.688,0.999851048
-53.6793,1,265.247,1,2.78155844,,-1.90301759,0.02002891,5289.27718885,12.21472128,19.24304601,0.8393204283,21000130,1898649,False,13.771,12.964,0.9999907613
-53.6792,1,265.242,1,4.72657438,,-1.48575648,0.16976869,5206.45458526,112.97746718,18.71258088,5.5183255254,21000132,1898651,False,19.169,18.306,0.9942053556
-53.6788,1,265.257,1,4.04442896,,-2.05669894,0.04956822,6279.95648966,18.55042195,14.83043132,1.6602228474,21000133,1898652,False,16.083,15.486,0.999769032
-53.6779,1,265.258,1,4.70478793,,-1.64307334,0.17168114,5159.43912073,118.62726619,13.09975376,5.8935164309,21000138,1898656,False,19.13,18.261,0.997842133
-53.6776,1,265.258,1,4.66942025,,-1.6692705,0.14196341,5383.27833112,98.8315846,21.03050666,5.0844491702,21000139,1898657,False,18.747,17.935,0.9985294342
-53.6773,1,265.259,1,4.33840628,,-1.74721229,0.07463414,5885.65964527,44.53175902,16.72084333,2.9284286718,21000141,1898659,False,17.068,16.418,0.9995633364
-53.6766,1,265.25,1,4.37490862,,-1.8996692,0.07062294,6168.66512486,25.33024943,20.7798188,2.6355856366,21000146,1898664,False,17.086,16.454,0.9998084903
-53.676,1,265.255,1,4.25948728,,-2.06138965,0.06326768,6235.57722385,21.19952425,21.08412155,2.1891847805,21000147,1898665,False,16.636,16.038,0.9995538592
-53.6754,1,265.254,1,3.74572063,,-2.04519571,0.0352358,5937.54320569,11.28607652,10.73119737,1.3142461685,21000149,1898667,False,15.674,14.992,0.9998223782
-53.6747,2,265.25,1,4.50532477,,-1.7060958412,0.0709304835,5376.80554373,50.9240828137,21.2407462495,3.0544631264,21000150,1898668,False,18.114,17.334,0.9991663694
-53.6937,1,265.245,1,4.57909767,,-1.8484522,0.13762182,5787.96159994,88.44347996,23.84357696,5.934138594,21000151,1898669,False,18.229,17.47,0.999399364
-53.6923,1,265.246,1,4.29736758,,-2.03838787,0.06891407,6179.52579879,21.77725831,16.67665583,2.6069820851,21000153,1898670,False,16.881,16.249,0.9997985363
-53.6893,1,265.239,1,4.15274892,,-2.06596756,0.06121098,6318.05047632,29.21979687,17.95467078,1.912670153,21000154,1898671,False,16.366,15.767,0.9997873306
-53.6879,1,265.243,1,4.1009472,,-2.04994798,0.05671299,6271.37033484,20.57303531,16.58106345,1.8531147945,21000155,1898672,False,16.259,15.654,0.9998401403
-53.6823,1,265.261,1,4.56471846,,-1.59828032,0.15160177,6084.54401932,74.0825691,25.69273142,7.5776598271,21000157,1898673,False,17.987,17.271,0.9948425293
-53.6806,1,265.254,1,3.4184023,,-0.33441053,0.0168238,5654.44078813,12.96437498,-16.15367222,1.1335709209,21000159,1898674,False,14.88,14.194,0
-53.6801,1,265.256,1,4.38585007,,-1.98762296,0.06065101,6160.13564064,20.60211602,16.29482304,2.4978478665,21000160,1898675,False,17.027,16.415,0.9998485446
-53.6799,1,265.25,1,4.37227411,,-2.06485045,0.07424269,6209.40898503,25.20905169,12.96125692,2.6253394835,21000161,1898676,False,17.057,16.43,0.9997323751
-53.6764,1,265.254,1,4.56344196,,-1.7635327,0.09890264,5794.59612941,67.30253568,19.3817714,4.6403132209,21000162,1898677,False,17.909,17.209,0.9995644093
-53.6943,1,265.245,1,4.66766546,,-1.69361093,0.23009986,5225.3418699,159.35096411,17.11019282,7.1517999768,21000164,1898679,False,19.272,18.349,0.9984053373
-53.6928,1,265.244,1,4.6976716,,-1.52585064,0.17441629,5321.4464881,126.72609402,13.1419412,5.9019428667,21000165,1898680,False,19.156,18.277,0.9941048026
-53.6919,1,265.242,1,4.7134893,,-1.57558124,0.17431718,5187.81234119,116.47921349,15.46842372,6.8974436263,21000167,1898682,False,19.036,18.192,0.9968059063
-53.6914,1,265.24,1,4.62295584,,-1.73952878,0.13636824,5881.7911198,90.61372749,17.46541428,5.4202650628,21000168,1898683,False,17.81,17.167,0.999548018
-53.6913,1,265.241,1,4.69611427,,-1.4692529,0.17327354,5335.82847005,122.0315641,11.02049842,5.4824221444,21000169,1898684,False,19.021,18.169,0.9869518876
-53.6912,1,265.258,1,4.52453468,,-1.62233175,0.09196415,5703.43655105,66.10543369,26.17606162,4.0674214972,21000170,1898685,False,18.086,17.324,0.9948359132
-53.6903,1,265.258,1,4.6385841,,-1.55407449,0.13670876,5450.54629303,95.40559977,20.93748441,4.5428568803,21000174,1898688,False,18.74,17.91,0.9954952002
-53.6895,1,265.244,1,4.62452284,,-1.8062277,0.1070421,5802.20613965,67.84883695,21.93602587,4.3160678359,21000175,1898689,False,18.115,17.408,0.9995885491
-53.6894,1,265.24,1,4.56200121,,-1.8296946,0.08946128,5813.89403644,58.04432313,11.5132154,3.5998912185,21000176,1898690,False,17.97,17.256,0.9997677207
-53.6893,1,265.256,1,4.67680989,,-1.41571118,0.10381573,5815.09246231,70.54000532,12.33911092,4.4901691011,21000177,1898691,False,18.337,17.615,0.9577148557
-53.6886,1,265.257,1,4.76077698,,-1.63906777,0.15361867,5449.49931229,102.4760892,10.03597758,5.1910944333,21000180,1898694,False,18.883,18.1,0.9971167445
-53.6886,1,265.255,1,4.64555582,,-1.68126021,0.12507591,5461.3219648,86.66238473,10.51950558,4.2259798903,21000181,1898695,False,18.618,17.818,0.9984111786
-53.6881,1,265.237,1,4.66340871,,-0.39967631,0.13562753,5740.92851466,97.6152221,16.04091991,4.8146969424,21000182,1898696,False,18.772,17.951,1.00E-008
-53.6881,1,265.244,1,4.50872846,,-1.76360526,0.08220689,6089.89469673,34.21086542,13.87449697,3.8487420765,21000183,1898697,False,17.742,17.045,0.9996179342
-53.6877,1,265.258,1,4.71852256,,-1.68668767,0.16898853,5198.41229259,115.1840486,29.16467061,5.322744521,21000184,1898698,False,19.105,18.25,0.9934642315
-53.6876,1,265.246,1,3.96556227,,-2.0851731,0.0457977,6202.62690506,14.73513641,15.92793861,1.5672066922,21000185,1898699,False,15.974,15.355,0.9997840524
-53.6875,1,265.264,1,4.19201397,,-2.0666942,0.05792137,6289.28095346,23.62669505,22.47295147,1.9005028049,21000186,1898700,False,16.416,15.829,0.9993758798
-53.6874,1,265.243,1,4.55338694,,-1.91237569,0.09107694,5831.20298653,55.30593294,26.66382849,3.4303833846,21000187,1898701,False,17.941,17.228,0.9991441369
-53.687,1,265.245,1,4.48105316,,-1.82416225,0.06326224,6053.35804202,30.46976791,18.96311318,2.6994908831,21000189,1898703,False,17.488,16.83,0.9998022318
-53.6869,1,265.248,1,4.87112003,,-0.43820158,0.11124926,5687.33423706,76.66386488,-16.22516185,4.589430737,21000191,1898705,False,19.087,18.331,0
-53.6866,1,265.236,1,4.70295922,,-1.69110332,0.21274263,5243.2223846,143.85100869,33.40299101,6.4317803752,21000193,1898707,False,19.047,18.194,0.986720562
-53.6869,1,265.243,1,4.11576199,,-0.38385003,0.06206753,4658.33812126,27.84568041,105.46714076,2.1716152414,21000194,1898708,False,17.937,16.942,0
-53.6863,1,265.241,1,4.47160042,,-0.63997573,0.05408484,6176.80374283,38.81760038,-159.74350835,2.875074413,21000196,1898709,False,17.318,16.692,0
-53.6863,1,265.245,1,4.51986942,,-1.62608098,0.08751423,5341.72105596,68.90387844,20.12155842,3.3331435074,21000197,1898710,False,18.373,17.546,0.9985651374
-53.6859,1,265.267,1,4.63281917,,0.19973123,0.10856296,5055.04051729,55.85241035,36.59969589,4.1768660377,21000199,1898711,False,19.106,18.195,0
-53.6858,1,265.266,1,4.54081471,,-1.742904,0.07856901,6081.54520237,33.35877154,18.65108877,3.4698536484,21000200,1898712,False,17.629,16.976,0.999488771
-53.6853,1,265.253,1,4.65382649,,-1.88622211,0.11128068,5394.23903563,79.4431561,18.44015046,4.2769302149,21000203,1898714,False,18.485,17.718,0.9997467995
