162	14 38 48.55	-39 19 50.6	14 38 48.55	-39 19 50.6	30.2	0.6
163	14 32 41.70	-41 45 09.9	14 32 41.70	-41 45 09.9	57.2	1.3
164	14 30 13.85	-23 17 38.7	14 30 13.85	-23 17 38.7	432.9	0.8
165	14 29 49.43	-68 27 06.9	14 29 49.43	-68 27 06.9	104.0	0.6
166	14 24 52.53	-77 20 01.8	14 24 52.53	-77 20 01.8	167.1	1.3
167	14 23 59.41	-02 27 33.5	14 23 59.41	-02 27 33.5	141.9	0.9
168	14 19 17.09	-13 15 27.1	14 19 17.09	-13 15 27.1	27.7	0.8
169	14 19 17.09	-13 15 27.0	14 19 17.09	-13 15 27.0	28.1	0.8
170	14 16 57.68	-14 20 16.3	14 16 57.68	-14 20 16.3	-28.2	1.5
171	14 13 30.51	-74 22 15.7	14 13 30.51	-74 22 15.7	125.9	0.6
172	14 11 57.53	-41 50 37.3	14 11 57.53	-41 50 37.3	91.7	0.3
173	14 07 07.02	-40 19 03.7	14 07 07.02	-40 19 03.7	226.9	0.5
174	14 03 38.61	-12 43 47.7	14 03 38.61	-12 43 47.7	-89.6	1.0
175	14 01 58.36	-26 25 26.1	14 01 58.36	-26 25 26.1	-24.6	0.8
176	14 00 28.33	-10 04 40.5	14 00 28.33	-10 04 40.5	-66.0	0.7
177	13 51 41.20	-51 42 56.2	13 51 41.20	-51 42 56.2	232.2	1.2
178	13 49 19.76	-07 21 04.7	13 49 19.76	-07 21 04.7	200.8	0.9
179	13 47 58.83	-77 13 23.4	13 47 58.83	-77 13 23.4	259.6	0.9
180	13 47 45.61	-74 32 47.8	13 47 45.61	-74 32 47.8	-1.5	0.8
181	13 40 35.18	-80 11 01.8	13 40 35.18	-80 11 01.8	100.2	0.7
182	13 39 34.13	-53 37 17.9	13 39 34.13	-53 37 17.9	304.2	0.7
183	13 38 41.69	-18 39 18.7	13 38 41.69	-18 39 18.7	113.9	0.6
184	13 38 17.66	-10 31 20.8	13 38 17.66	-10 31 20.8	3.3	1.3
185	13 33 52.82	-26 23 53.9	13 33 52.82	-26 23 53.9	65.9	0.6
