201.65437	-47.45710	235.783     0.536
201.67100	-47.45683	236.531     1.305
201.64852	-47.45503	229.908     0.238
201.71292	-47.45400	221.229     0.399
201.63413	-47.45323	218.917     0.295
201.75256	-47.45282	242.293     1.000
201.75317	-47.45255	212.391     0.177
201.60119	-47.45246	249.394     0.526
201.77468	-47.45082	240.443     0.389
201.68896	-47.45089	207.568     1.113
201.69536	-47.45054	238.530     0.646
201.74845	-47.45021	249.925     0.249
201.72793	-47.44924	216.778     1.160
201.63971	-47.44910	219.814     1.309
201.70454	-47.44857	261.230     0.341
201.68418	-47.44862	213.254     0.036
201.62333	-47.44867	233.842     0.405
201.66790	-47.44827	219.433     0.138
201.73669	-47.44745	250.375     0.318
201.70331	-47.44693	214.068     0.341
201.66248	-47.44625	251.658     0.233
201.69116	-47.44547	227.476     0.836
201.76488	-47.44406	236.221     0.303
201.70916	-47.44411	239.969     0.351
201.67955	-47.44405	219.291     0.338
201.73972	-47.44398	222.082     0.082
201.64803	-47.44400	232.637     0.467
201.63245	-47.44391	224.108     0.130
201.69176	-47.44286	200.603     0.356
201.71687	-47.44262	217.162     0.125
201.61652	-47.44272	203.993     0.066
201.63250	-47.44255	241.619     0.155
201.65010	-47.44167	229.819     0.544
201.72809	-47.44119	243.850     0.985
201.68211	-47.44085	230.353     0.280
201.71140	-47.44078	236.545     0.095
201.72694	-47.44002	261.153     0.419
201.64222	-47.43914	246.986     1.656
201.67314	-47.43869	216.755     0.227
201.74808	-47.43848	219.787     0.184
201.71269	-47.43784	238.577     0.535
201.63478	-47.43690	254.281     0.331
201.77034	-47.43624	224.309     0.229
201.66880	-47.43625	220.985     0.560
201.67587	-47.43307	228.787     0.772
201.71755	-47.43268	240.328     0.614
201.65613	-47.43086	222.281     1.141
201.63964	-47.42963	242.349     0.266
201.66133	-47.42942	250.141     0.320
201.73055	-47.42879	243.457     1.473
201.71455	-47.42807	232.411     0.810
201.65712	-47.42738	218.492     0.307
201.74212	-47.42641	245.873     0.121
201.66225	-47.42608	215.042     0.464
201.60978	-47.42614	218.413     0.459
201.70705	-47.42538	255.835     0.246
201.74604	-47.42487	225.005     0.559
201.66231	-47.42500	229.985     0.347
201.76974	-47.42428	232.853     0.180
201.70154	-47.42340	228.351     0.949
201.63609	-47.42345	226.162     1.234
201.64907	-47.42333	214.725     0.139
201.72093	-47.42298	252.985     1.206
201.62016	-47.42313	221.248     1.467
201.72743	-47.42261	208.719     0.519
