134	13 25 29.42	-47 18 34.9	134	247.3411	0.6940	12.241	11.720	11.628	201.37259	-47.30969
135	13 24 25.78	-47 25 16.2	135	235.0913	0.6530	12.371	11.800	11.703	201.10740	-47.42116
136	13 26 29.48	-47 16 51.5	136	226.1270	0.5530	12.087	11.534	11.434	201.62282	-47.28098
137	13 27 56.20	-47 21 26.3	137	219.4953	0.5870	12.171	11.691	11.530	201.98418	-47.35730
138	13 28 06.68	-47 28 02.8	138	251.1463	0.5830	12.239	11.705	11.632	202.02782	-47.46745
139	13 24 44.88	-47 20 46.0	139	230.8190	0.7070	12.393	11.852	11.762	201.18699	-47.34610
140	13 27 19.70	-47 46 19.6	140	227.0116	2.9010	12.684	12.215	12.130	201.83208	-47.77211
141	13 25 14.11	-47 26 36.5	141	230.5136	0.4310	11.936	11.336	11.232	201.30880	-47.44348
142	13 27 18.49	-47 15 42.5	142	221.2396	0.5270	12.243	11.676	11.618	201.82703	-47.26181
143	13 27 04.14	-47 44 15.9	143	230.6129	0.5080	12.132	11.572	11.443	201.76724	-47.73774
144	13 27 48.60	-47 31 42.4	144	255.6313	0.7080	12.517	12.040	11.938	201.95252	-47.52843
145	13 27 20.57	-47 17 54.7	145	229.8055	0.5950	12.325	11.798	11.719	201.83570	-47.29851
146	13 25 46.04	-47 15 21.9	146	225.3947	0.3739	12.239	11.718	11.598	201.44185	-47.25609
147	13 27 42.89	-47 34 19.8	147	241.5787	0.9230	12.400	11.873	11.777	201.92869	-47.57216
148	13 27 47.09	-47 43 23.4	148	231.4058	0.3589	12.218	11.585	11.490	201.94620	-47.72317
149	13 26 55.09	-47 14 48.8	149	233.8069	0.5240	12.406	11.859	11.781	201.72954	-47.24689
150	13 25 37.65	-47 16 10.9	150	223.6748	0.4805	12.411	11.891	11.778	201.40689	-47.26969
151	13 25 39.29	-47 18 33.0	151	240.2002	0.8690	12.494	12.014	11.904	201.41369	-47.30917
152	13 27 42.64	-47 12 32.8	152	241.8021	0.6710	12.399	11.854	11.790	201.92767	-47.20910
153	13 25 08.77	-47 29 21.6	153	226.3276	0.7520	12.436	11.853	11.791	201.28652	-47.48933
154	13 27 38.71	-47 32 35.2	154	241.5174	0.7110	12.438	11.927	11.819	201.91131	-47.54310
155	13 27 27.42	-47 18 21.5	155	220.3158	0.5210	12.346	11.797	11.734	201.86425	-47.30598
156	13 27 08.36	-47 13 00.3	156	229.2168	0.6330	12.397	11.901	11.785	201.78484	-47.21674
157	13 27 46.42	-47 30 25.7	157	244.5346	0.6880	12.462	11.964	11.839	201.94343	-47.50713
158	13 25 15.29	-47 39 51.3	158	241.3536	0.6250	12.390	11.862	11.741	201.31371	-47.66426
159	13 26 20.43	-47 11 47.0	159	237.4457	0.4560	12.403	11.907	11.826	201.58514	-47.19637
160	13 27 41.56	-47 15 38.5	160	236.3104	0.5330	12.388	11.831	11.745	201.92318	-47.26068
161	13 27 32.91	-47 42 00.0	161	233.3121	0.6660	12.459	11.944	11.807	201.88710	-47.70000
162	13 25 14.38	-47 51 53.4	162	240.9389	0.7170	12.462	11.911	11.842	201.30990	-47.86485
163	13 25 47.83	-47 11 16.0	163	232.3218	0.3321	12.368	11.838	11.723	201.44930	-47.18777
164	13 27 57.23	-47 29 32.3	164	246.1700	0.6590	12.474	11.931	11.846	201.98847	-47.49232
165	13 26 11.16	-47 18 40.3	165	226.2469	0.6750	12.533	12.068	11.924	201.54649	-47.31119
166	13 26 11.68	-47 46 57.3	166	237.4798	0.8730	12.449	11.926	11.835	201.54866	-47.78258
167	13 26 04.12	-47 45 14.7	167	230.5655	0.4503	12.443	11.914	11.762	201.51715	-47.75407
168	13 24 39.62	-47 21 47.9	168	238.0475	0.6180	12.519	12.046	11.911	201.16510	-47.36330
169	13 25 12.22	-47 36 08.8	169	228.9487	0.9240	12.430	11.901	11.806	201.30091	-47.60245
170	13 27 06.74	-47 12 04.1	170	232.5410	0.6790	12.426	11.929	11.827	201.77807	-47.20115
171	13 25 52.54	-47 41 13.4	171	231.5291	0.8110	12.500	11.972	11.899	201.46894	-47.68707
172	13 25 36.44	-47 45 31.7	172	231.9963	0.8520	12.481	11.989	11.896	201.40183	-47.75880
173	13 27 58.26	-47 27 20.6	173	236.4063	0.3927	12.434	11.941	11.809	201.99275	-47.45573
174	13 25 34.64	-47 44 32.7	174	237.2960	1.0300	12.595	12.152	12.011	201.39433	-47.74241
175	13 25 38.90	-47 37 51.8	175	227.5394	0.7540	12.548	12.013	11.914	201.41210	-47.63106
176	13 25 13.54	-47 20 39.5	176	220.3236	0.6180	12.568	12.026	11.983	201.30642	-47.34432
177	13 25 14.91	-47 24 45.1	177	220.4521	0.5370	12.560	12.018	11.942	201.31213	-47.41254
178	13 26 48.62	-47 15 18.9	178	229.5484	0.6320	12.627	12.110	12.030	201.70258	-47.25526
179	13 27 54.82	-47 35 40.7	179	244.7271	0.5750	12.516	11.956	11.894	201.97841	-47.59465
180	13 25 06.14	-47 29 51.4	180	227.9729	0.8370	12.582	12.024	11.980	201.27557	-47.49761
181	13 27 58.49	-47 30 27.2	181	226.0788	0.4987	12.455	11.958	11.833	201.99372	-47.50756
182	13 26 00.83	-47 42 54.7	182	233.9139	0.8570	12.504	11.982	11.891	201.50344	-47.71521
183	13 26 25.60	-47 44 53.2	183	239.8965	0.6430	12.586	12.036	11.940	201.60665	-47.74810
184	13 27 45.50	-47 15 44.0	184	231.4053	0.6460	12.588	12.023	11.947	201.93957	-47.26222
185	13 25 51.63	-47 15 18.2	185	230.4595	0.4224	12.509	12.031	11.903	201.46513	-47.25504
186	13 24 34.11	-47 28 45.1	186	229.8411	0.5111	12.597	12.113	11.956	201.14214	-47.47919
187	13 27 26.44	-47 43 53.2	187	242.8771	0.6810	12.643	12.130	12.021	201.86016	-47.73146
188	13 27 56.79	-47 29 43.9	188	244.9752	0.6540	12.560	12.042	11.958	201.98663	-47.49553
189	13 26 36.15	-47 51 43.7	189	230.5748	0.6000	12.620	12.107	12.031	201.65062	-47.86214
190	13 25 03.18	-47 42 35.0	190	239.0611	0.5211	12.658	12.108	12.038	201.26327	-47.70971
191	13 27 53.94	-47 44 26.5	191	236.9861	0.8410	12.692	12.154	12.050	201.97475	-47.74071
192	13 25 12.57	-47 34 29.3	192	245.3196	0.6650	12.573	12.046	11.954	201.30237	-47.57479
193	13 24 50.55	-47 25 39.8	193	229.3060	0.4716	12.599	12.118	11.986	201.21061	-47.42772
194	13 25 09.31	-47 30 33.6	194	223.5112	0.7590	12.615	12.104	12.013	201.28879	-47.50935
195	13 27 22.35	-47 46 42.1	195	238.3722	0.8220	12.738	12.220	12.108	201.84312	-47.77836
196	13 24 50.47	-47 32 42.8	196	231.7806	0.6280	12.605	12.090	11.983	201.21031	-47.54523
197	13 24 17.08	-47 13 15.3	197	242.0786	0.5000	12.687	12.110	12.007	201.07117	-47.22091
198	13 25 00.72	-47 19 50.3	198	242.8510	0.7130	12.611	12.107	12.011	201.25301	-47.33064
199	13 25 30.54	-47 48 05.0	199	236.9553	0.7090	12.560	11.982	11.923	201.37726	-47.80139
200	13 25 51.89	-47 15 34.8	200	244.1174	0.4695	12.609	12.091	12.003	201.46622	-47.25967
201	13 28 03.47	-47 17 59.4	201	241.0585	0.5450	12.641	12.104	12.004	202.01444	-47.29985
202	13 25 55.63	-47 15 37.5	202	228.8735	0.5760	12.603	12.105	12.001	201.48180	-47.26042
203	13 27 05.88	-47 11 14.0	203	230.0092	0.4260	12.606	12.069	11.967	201.77449	-47.18723
204	13 26 33.00	-47 13 02.9	204	238.9500	0.4409	12.614	12.082	11.978	201.63748	-47.21747
205	13 25 52.99	-47 13 06.9	205	228.0885	0.6740	12.755	12.303	12.172	201.47077	-47.21860
206	13 27 45.13	-47 37 45.5	206	246.9313	0.6230	12.633	12.079	12.018	201.93803	-47.62930
