Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.6839,1,265.255,1,4.43219253,,-1.90098353,0.06255797,6071.46336983,27.95311274,20.80877954,2.73223600488,21000102.0,1898629.0,False,17.297,16.652,0.999785244465
-53.6833,1,265.261,1,4.67702666,,-1.61086934,0.13445332,5593.50640559,113.62601875,22.82088492,4.53843377923,21000108.0,1898633.0,False,18.568,17.798,0.996878564358
-53.6832,1,265.253,1,4.20329057,,-2.0255533,0.0575825,6308.2754834,27.01257463,13.87403479,1.94995283621,21000109.0,1898634.0,False,16.428,15.845,0.999832928181
-53.6826,1,265.245,1,4.04046025,,-1.97516083,0.04637319,6255.58435564,16.544485,13.89679888,1.59741420098,21000114.0,1898637.0,False,16.073,15.476,0.999894678593
-53.6816,1,265.24,1,4.74548888,,-1.40428618,0.19137966,5437.61859512,128.61693277,28.48991067,5.79539378075,21000119.0,1898641.0,False,19.287,18.412,0.950468361378
-53.6814,1,265.258,1,4.22066251,,-2.15216521,0.06277772,6268.36129701,21.3985139,16.10621463,2.03851220819,21000120.0,1898642.0,False,16.502,15.912,0.999414145947
-53.681,1,265.243,1,4.26033105,,-1.93527893,0.05812424,6297.01949332,26.11538203,21.10936598,2.02031761164,21000124.0,1898644.0,False,16.57,15.988,0.999821066856
-53.6809,1,265.251,1,4.47624052,,-1.82638641,0.06951939,6152.7742031,25.44165601,15.80067372,2.85020462662,21000125.0,1898645.0,False,17.353,16.722,0.999797284603
-53.68,1,265.258,1,4.02707606,,-2.07622454,0.04788267,6219.43861488,14.33686957,17.56630648,1.65954358819,21000127.0,1898646.0,False,16.023,15.43,0.999643921852
-53.6794,1,265.243,1,4.4185388,,-1.84312321,0.06564264,6099.80575877,26.47511018,20.67603859,2.61255804372,21000128.0,1898647.0,False,17.354,16.688,0.999851047993
-53.6793,1,265.247,1,2.78155844,,-1.90301759,0.02002891,5289.27718885,12.21472128,19.24304601,0.839320428258,21000130.0,1898649.0,False,13.771,12.964,0.99999076128
-53.6792,1,265.242,1,4.72657438,,-1.48575648,0.16976869,5206.45458526,112.97746718,18.71258088,5.51832552535,21000132.0,1898651.0,False,19.169,18.306,0.994205355644
-53.6788,1,265.257,1,4.04442896,,-2.05669894,0.04956822,6279.95648966,18.55042195,14.83043132,1.66022284735,21000133.0,1898652.0,False,16.083,15.486,0.999769032001
-53.6779,1,265.258,1,4.70478793,,-1.64307334,0.17168114,5159.43912073,118.62726619,13.09975376,5.89351643085,21000138.0,1898656.0,False,19.13,18.261,0.997842133045
-53.6776,1,265.258,1,4.66942025,,-1.6692705,0.14196341,5383.27833112,98.8315846,21.03050666,5.08444917016,21000139.0,1898657.0,False,18.747,17.935,0.998529434204
-53.6773,1,265.259,1,4.33840628,,-1.74721229,0.07463414,5885.65964527,44.53175902,16.72084333,2.92842867182,21000141.0,1898659.0,False,17.068,16.418,0.999563336372
-53.6766,1,265.25,1,4.37490862,,-1.8996692,0.07062294,6168.66512486,25.33024943,20.7798188,2.63558563656,21000146.0,1898664.0,False,17.086,16.454,0.999808490276
-53.676,1,265.255,1,4.25948728,,-2.06138965,0.06326768,6235.57722385,21.19952425,21.08412155,2.18918478051,21000147.0,1898665.0,False,16.636,16.038,0.999553859234
-53.6754,1,265.254,1,3.74572063,,-2.04519571,0.0352358,5937.54320569,11.28607652,10.73119737,1.31424616849,21000149.0,1898667.0,False,15.674,14.992,0.999822378159
-53.6747,2,265.25,1,4.50532477,,-1.70609584116,0.0709304834753,5376.80554373,50.9240828137,21.2407462495,3.05446312636,21000150.0,1898668.0,False,18.114,17.334,0.999166369438
-53.6937,1,265.245,1,4.57909767,,-1.8484522,0.13762182,5787.96159994,88.44347996,23.84357696,5.93413859402,21000151.0,1898669.0,False,18.229,17.47,0.999399363995
-53.6923,1,265.246,1,4.29736758,,-2.03838787,0.06891407,6179.52579879,21.77725831,16.67665583,2.60698208513,21000153.0,1898670.0,False,16.881,16.249,0.999798536301
-53.6893,1,265.239,1,4.15274892,,-2.06596756,0.06121098,6318.05047632,29.21979687,17.95467078,1.91267015304,21000154.0,1898671.0,False,16.366,15.767,0.999787330627
-53.6879,1,265.243,1,4.1009472,,-2.04994798,0.05671299,6271.37033484,20.57303531,16.58106345,1.85311479453,21000155.0,1898672.0,False,16.259,15.654,0.999840140343
-53.6823,1,265.261,1,4.56471846,,-1.59828032,0.15160177,6084.54401932,74.0825691,25.69273142,7.57765982708,21000157.0,1898673.0,False,17.987,17.271,0.994842529297
-53.6806,1,265.254,1,3.4184023,,-0.33441053,0.0168238,5654.44078813,12.96437498,-16.15367222,1.13357092094,21000159.0,1898674.0,False,14.88,14.194,0.0
-53.6801,1,265.256,1,4.38585007,,-1.98762296,0.06065101,6160.13564064,20.60211602,16.29482304,2.4978478665,21000160.0,1898675.0,False,17.027,16.415,0.999848544598
